covariate,coef,exp(coef),se(coef),coef lower 95%,coef upper 95%,exp(coef) lower 95%,exp(coef) upper 95%,cmp to,z,p,-log2(p),Cancer_Type,Gene,Endpoint
LATS2_altered,1.190662101679349,3.289258310022807,0.35411790542957955,0.4966037607566123,1.8847204426020858,1.643131316602987,6.584513435251038,0.0,3.3623323854097684,0.0007728703112819473,10.337486031333924,COAD,LATS2,OS
PDHA1_altered,1.2563937403108483,3.5127307986813876,0.46232832148136405,0.35024688117451896,2.1625405994471776,1.4194179329062415,8.69319555427925,0.0,2.7175357466425343,0.006577005039972608,7.248353508849121,COAD,PDHA1,OS
LATS1_altered,0.9137332150161691,2.4936143770049033,0.37342612174862433,0.18183146550239604,1.6456349645299422,1.199412034540274,5.18430070912946,0.0,2.44689153168363,0.014409419656270229,6.116843958070611,COAD,LATS1,OS
IGF1R_altered,0.8220896532690897,2.2752493556350974,0.3725785591596562,0.09184909590433765,1.5523302106338417,1.096199388621432,4.722461701815178,0.0,2.2064867477165007,0.027349937117709965,5.192318673761364,COAD,IGF1R,OS
KEAP1_altered,1.067219048374033,2.907283233496776,0.5147521280609907,0.058323416409141515,2.0761146803389243,1.0600577803570155,7.973429332243411,0.0,2.073267870487721,0.038147357088078676,4.7122730815485205,COAD,KEAP1,OS
RHOA_altered,2.9288826262275207,18.706716420131528,1.429097213919758,0.12790355653826202,5.72986169591678,1.1364433948765953,307.92667791537315,0.0,2.049463533830648,0.0404168101404536,4.628900726942481,DLBC,RHOA,OS
MST1_altered,2.071568281413665,7.937261221325745,0.7346858167707251,0.6316105405906505,3.511526022236679,1.8806369837351375,33.49934955040434,0.0,2.819665541549638,0.00480737272941389,7.700535620560023,ESCA,MST1,OS
SOX17_altered,1.6101815784868927,5.003719713204751,0.7317384452973678,0.17600057960071935,3.0443625773730663,1.1924387497888262,20.996643200959188,0.0,2.2004878776494223,0.02777229907619757,5.1702095769487215,ESCA,SOX17,OS
BRCA2_altered,1.0125465168169852,2.752601644000998,0.4671454566064827,0.09695824632676042,1.9281347873072099,1.1018143678634762,6.876671816550343,0.0,2.167518708567771,0.030195324735729393,5.049531001241834,ESCA,BRCA2,OS
JAK1_altered,1.444894869014417,4.2414062161647275,0.7278966903092039,0.018243571542472026,2.871546166486362,1.0184110021212196,17.664309058966285,0.0,1.9850273922809551,0.04714142397198354,4.406860851927176,ESCA,JAK1,OS
TP53_altered,-0.5410559300293922,0.5821332357591329,0.14873953325514827,-0.8325800582867805,-0.24953180177200396,0.43492570382436263,0.7791655015916207,0.0,-3.63760674911668,0.0002751831524725246,11.827320232868315,GBM,TP53,OS
MTOR_altered,1.2851040700748584,3.615044155557499,0.5150963984987588,0.2755336804509996,2.294674459698717,1.3172334690690224,9.921205734217224,0.0,2.494880713241786,0.012599947982948764,6.3104384119937205,GBM,MTOR,OS
PDGFRA_altered,0.6951476610320115,2.0040049655361756,0.31245332194750325,0.0827504031650067,1.3075449188990165,1.0862706449939268,3.6970859153761833,0.0,2.2248048338842965,0.02609434276056239,5.260119124586492,GBM,PDGFRA,OS
VHL_altered,2.1874499432805132,8.912456841680628,1.0170942639307559,0.19398181709395557,4.1809180694670705,1.214074207358291,65.42589116332188,0.0,2.150685556741509,0.03150102713581958,4.988457319270292,GBM,VHL,OS
PIK3CA_altered,0.44723915042455964,1.5639882830273426,0.2118759134985218,0.031969990775933044,0.8625083100731863,1.0324865207208624,2.3690956737517723,0.0,2.110854145899316,0.03478485042490351,4.84539707265493,GBM,PIK3CA,OS
CDH1_altered,1.3428216841187401,3.829834857507712,0.508395465070817,0.34638488267644774,2.3392584855610323,1.4139467146997515,10.373541579249508,0.0,2.641293592049826,0.008259011494435678,6.919815166142847,HNSC,CDH1,OS
SLC16A1_altered,1.5448763582793306,4.687392033975278,0.5874137768834514,0.3935665115651188,2.696186204993542,1.4822578677442628,14.823091553976292,0.0,2.629962760621205,0.008539422176481517,6.87164583206781,HNSC,SLC16A1,OS
NFE2L2_altered,0.5016899982711586,1.6515099625757275,0.25504153079925046,0.0018177833426646917,1.0015622131996524,1.0018194365123547,2.7225316829369026,0.0,1.9670913858576675,0.049172676177346025,4.345999315138455,HNSC,NFE2L2,OS
